,id,dm-0,dm-1,dm-2,dm-3,dm-4,dm-5,dm-6,dm-7,dm-8,dm-9,dm-10,dt-0,dt-1,dt-2,dt-3,dt-4,dt-5,dt-6,dt-7,dt-8,dt-9,dt-10,dt-11,dt-12,dt-13,dt-14,dt-15,dt-16,dt-17,dt-18,dt-19,dt-20,dt-21,dt-22,tag
3658,CSS1104061260754113690,48,37,28,42,46,12,6,3,1,6,0,0,0,0,1,1,1,1,0,0,0,1,1,2,3,3,6,4,2,3,34,30,69,71,2
3659,CSS1104061260674111875,34,30,26,42,52,15,11,10,6,3,1,0,0,0,1,1,1,1,1,0,1,0,1,1,3,3,6,4,3,3,34,33,70,68,5
3660,CSS1104061230744115200,23,22,21,36,65,37,20,4,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,2,3,6,4,3,3,33,31,72,68,0
3661,CSS1104061180754112037,31,28,25,42,65,30,7,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,2,3,7,4,2,2,33,30,74,67,0
3662,CSS1104051210484136574,37,34,29,42,44,14,11,6,3,9,0,0,0,0,1,1,1,1,1,0,1,1,1,1,2,2,5,4,3,8,34,31,70,68,5
3663,CSS1104051180634123568,28,27,26,44,69,23,6,2,1,3,1,0,0,0,1,1,1,1,0,0,1,1,1,1,2,3,6,4,3,4,35,29,78,61,0
3664,CSS1104051180604124984,35,33,28,45,61,20,5,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,2,2,5,4,3,5,35,31,78,59,5
3665,CSS1104051010784130380,18,17,16,31,62,46,28,9,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,2,3,6,4,3,4,35,31,76,63,8
3666,CSS1104051010764122544,51,41,30,37,51,16,3,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,2,2,6,4,3,4,35,31,75,64,5
3667,CSS1104051010744147055,27,26,24,41,67,35,8,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,2,3,6,4,3,4,35,30,74,64,0
3668,CSS1104041230404151904,132,31,12,12,22,13,6,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,2,2,5,4,4,11,33,23,65,76,2
3669,CSS1104041180464131580,70,58,41,39,18,2,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,2,2,5,4,3,10,35,34,75,56,3
3670,CSS1104041180404115397,22,22,19,33,56,30,11,7,8,22,1,0,0,0,1,1,1,1,0,0,1,1,1,1,3,3,6,5,4,8,33,22,61,81,2
3671,CSS1104041150764142581,53,16,12,14,16,5,2,1,0,2,110,0,0,0,1,1,1,1,1,0,1,1,1,1,3,3,7,4,2,2,34,27,72,70,4
3672,CSS1104041150484138263,37,35,30,44,46,15,8,10,3,2,1,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,5,4,3,9,33,30,71,67,5
3673,CSS1104041120754123149,23,22,21,38,71,40,12,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,2,3,6,4,3,3,33,28,70,72,0
3674,CSS1104041090614125536,27,25,24,41,71,31,7,2,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,2,2,5,4,4,6,35,28,70,70,0
3675,CSS1104041070684137743,36,32,30,49,61,16,4,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,2,3,5,4,3,5,34,29,72,68,0
3676,CSS1104041070604115635,35,32,29,45,60,21,5,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,2,3,5,4,4,8,36,27,67,71,0
3677,CSS1104041040714134148,42,37,29,44,48,19,6,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,2,3,6,4,3,4,35,29,74,66,1
3678,CSS1104041040634118576,35,32,29,47,60,18,5,1,1,3,1,0,0,0,1,1,1,1,1,0,1,1,1,1,2,2,5,5,3,7,35,28,69,69,0
