,Unnamed: 0,id,dm-0,dm-1,dm-2,dm-3,dm-4,dm-5,dm-6,dm-7,dm-8,dm-9,dm-10,dt-0,dt-1,dt-2,dt-3,dt-4,dt-5,dt-6,dt-7,dt-8,dt-9,dt-10,dt-11,dt-12,dt-13,dt-14,dt-15,dt-16,dt-17,dt-18,dt-19,dt-20,dt-21,dt-22,tag
10501,10501,MLS1102081220984120610,36,31,26,47,63,18,5,2,1,1,0,0,0,0,1,2,1,1,0,0,0,0,1,1,3,3,7,6,5,12,53,47,79,12,0
10502,10502,MLS1102081201294118345,49,28,25,37,77,13,0,0,0,0,0,0,0,0,0,12,9,5,0,0,0,0,0,0,0,15,0,11,15,22,19,54,59,10,0
10504,10504,MLS1102081161194104455,53,28,13,25,70,31,8,2,1,0,0,0,0,0,1,2,2,1,0,0,0,1,0,1,2,3,6,6,5,12,51,43,81,15,5
10506,10506,MLS1102081110364115673,37,35,30,49,61,10,6,1,0,0,0,0,0,0,2,5,4,2,0,0,0,0,0,0,6,7,14,6,6,0,50,33,97,0,0
10507,10507,MLS1102081101304113933,29,26,28,46,71,25,4,0,0,0,0,0,0,0,1,5,5,2,0,0,0,0,0,0,2,2,9,7,2,2,42,44,87,20,0
10511,10511,MLS1102080011684109984,96,64,28,25,14,1,0,0,0,0,0,0,0,0,1,3,2,1,0,0,0,1,0,1,2,6,8,6,3,4,54,46,83,11,5
10513,10513,MLS1102080001664106915,33,31,27,46,66,21,4,1,0,0,0,0,0,0,1,2,2,1,0,0,0,0,1,1,3,5,8,6,4,6,58,51,77,9,5
10515,10515,MLS1102071151304104820,47,34,21,35,54,25,9,2,1,0,0,0,0,0,1,4,4,2,0,0,0,0,1,1,3,4,9,5,4,12,53,34,87,10,5
10516,10516,MLS1102071151234113969,92,58,22,16,32,6,1,1,0,0,0,0,0,0,1,2,2,1,0,0,0,1,0,1,4,3,8,5,5,15,50,38,84,15,5
10517,10517,MLS1102071141334105844,44,27,21,33,58,26,11,7,3,1,0,0,0,0,1,3,3,1,1,0,0,0,0,1,0,4,5,8,4,9,54,45,77,17,0
10518,10518,MLS1102071101284213927,40,31,24,38,71,21,4,1,0,0,0,0,0,0,2,7,7,2,0,0,0,0,0,0,0,5,5,5,0,0,50,37,89,20,0
10519,10519,MLS1102071020234111355,72,40,24,26,48,17,2,0,0,0,0,0,0,0,5,9,12,3,0,0,0,0,0,0,15,0,22,0,11,0,29,7,118,0,5
10520,10520,MLS1102071010244108862,49,39,28,31,79,2,0,0,0,0,0,0,0,0,1,7,6,3,0,0,0,0,0,4,0,2,7,0,8,4,69,54,65,0,7
10522,10522,MLS1102051160674106035,75,51,30,15,35,3,1,1,1,12,6,0,0,0,1,5,4,2,0,0,2,0,0,0,3,6,13,6,7,4,46,67,65,2,5
10523,10523,MLS1101301250914104604,28,26,26,46,71,22,5,3,2,1,0,0,0,0,1,3,3,1,0,0,0,0,2,1,3,4,9,8,4,9,53,34,82,17,0
10525,10525,MLS1101301140284115356,46,42,42,56,41,1,0,0,0,0,0,0,0,0,1,4,3,1,0,0,0,0,0,0,3,4,13,6,5,2,46,40,91,12,0
10526,10526,MLS1101301130284115617,38,25,22,46,72,21,3,0,0,0,0,0,0,0,1,4,3,1,0,0,0,0,0,0,3,3,6,4,7,7,50,45,85,13,0
10527,10527,MLS1101301110304112244,34,26,23,42,67,24,10,3,1,0,0,0,0,0,1,3,2,2,0,0,0,1,1,1,4,4,9,8,5,7,49,50,82,5,0
10528,10528,MLS1101300082174108761,17,13,10,24,40,51,36,15,19,5,0,0,0,0,1,9,6,3,0,0,0,0,0,0,5,0,14,10,5,0,42,33,88,14,1
10529,10529,MLS1101291201174116066,31,24,25,39,69,31,8,2,1,0,0,0,0,0,1,3,3,1,0,0,0,0,0,0,4,3,7,4,4,9,52,43,82,15,0
10530,10530,MLS1101291180524117193,51,43,32,42,38,18,4,1,1,0,0,0,0,0,1,2,2,1,0,0,0,1,1,1,2,3,8,7,5,9,53,43,84,12,5
10533,10533,MLS1101291050224101816,26,26,26,46,73,23,5,2,0,0,0,0,0,0,1,6,5,4,0,0,0,0,3,0,3,3,3,8,3,0,57,50,82,4,0
10534,10534,MLS1101281151254109245,56,42,27,36,41,22,3,1,0,0,0,0,0,0,1,3,2,2,1,0,0,0,1,2,2,4,8,6,6,14,60,45,67,12,5
10535,10535,MLS1101281131254104442,71,52,30,27,40,0,6,2,1,0,0,0,0,0,1,4,4,2,0,0,0,0,0,2,2,6,8,8,7,4,53,33,86,12,5
10536,10536,MLS1101281101234107306,19,22,17,10,65,60,25,10,0,0,0,0,0,0,4,12,14,5,0,0,0,0,0,0,0,0,0,0,14,0,30,44,93,14,5
10537,10537,MLS1101281091354114475,26,24,22,39,79,32,6,1,0,0,0,0,0,0,1,4,4,2,0,0,0,0,2,1,3,2,6,7,3,7,46,37,78,29,0
10538,10538,MLS1101281071364109267,38,31,28,57,60,14,1,0,0,0,0,0,0,0,0,11,8,4,0,0,0,0,0,0,13,10,9,5,14,7,36,42,73,0,0
10540,10540,MLS1101280121904111790,22,20,18,30,61,43,23,7,2,4,1,0,0,0,1,3,3,1,1,0,0,0,0,0,2,5,10,6,3,2,48,32,80,37,1
10541,10541,MLS1101280121904107677,39,31,24,45,56,17,5,3,3,6,1,0,0,0,1,3,3,1,1,0,0,0,0,0,3,4,10,6,3,2,48,33,84,30,0
10542,10542,MLS1101280111944104495,33,27,17,27,52,58,13,3,1,0,0,0,0,0,1,2,2,1,0,0,0,0,1,1,1,4,9,3,5,3,51,43,85,20,0
10543,10543,MLS1101280111904110565,104,53,19,23,26,1,1,0,0,3,1,0,0,0,1,2,2,1,1,0,0,0,1,1,4,4,9,7,5,7,53,35,78,22,5
10544,10544,MLS1101280101904111927,32,29,26,44,70,24,3,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,1,1,3,5,8,5,5,2,49,35,83,30,0
10545,10545,MLS1101271240604109976,66,54,40,34,16,17,1,0,0,0,0,0,0,0,1,2,2,1,0,1,0,0,0,0,3,4,7,6,5,9,55,42,84,11,5
10547,10547,MLS1101271200544103985,34,32,30,50,64,14,3,1,1,0,0,0,0,0,1,2,2,1,1,0,0,0,0,1,3,3,8,7,5,12,56,45,80,7,0
10548,10548,MLS1101271141174105520,68,54,30,24,49,3,1,0,0,0,0,0,0,0,2,5,5,2,0,0,0,0,0,0,6,4,10,6,4,0,51,27,95,15,5
10550,10550,MLS1101261180424114260,93,52,30,21,32,1,0,0,0,0,0,0,0,0,2,5,4,1,0,0,0,0,0,1,3,0,6,7,5,12,56,31,91,8,5
10551,10551,MLS1101261021564104825,45,32,19,25,90,12,5,0,0,0,0,0,0,0,4,7,9,2,0,0,0,0,0,0,0,3,27,6,0,0,23,35,46,69,5
10555,10555,MLS1101241231294100804,53,14,6,30,69,34,12,4,5,2,0,0,0,0,0,7,5,2,0,3,0,0,0,4,4,4,8,4,11,4,59,48,71,0,5
10556,10556,MLS1101241230434113499,28,25,24,36,76,28,9,1,0,0,0,0,0,0,1,5,4,3,0,0,0,2,0,0,4,9,8,4,5,10,53,31,92,0,0
10557,10557,MLS1101241201314105663,46,43,23,23,29,28,30,7,1,0,0,0,0,0,0,8,6,3,0,0,0,0,0,0,4,4,8,12,8,12,46,35,84,0,5
10558,10558,MLS1101241050144110438,34,33,29,46,56,19,9,3,1,0,0,0,0,0,1,2,2,1,0,0,0,0,1,1,4,5,10,6,4,8,58,46,80,3,1
10559,10559,MLS1101231231064113444,37,34,32,48,53,9,1,1,3,10,2,0,0,0,1,3,2,2,1,0,0,0,0,1,2,4,8,7,5,6,44,46,81,21,0
10560,10560,MLS1101231171084119870,26,22,18,34,76,35,14,3,1,0,0,0,0,0,1,2,2,1,0,0,0,1,1,1,3,5,8,6,5,7,51,40,88,12,0
10561,10561,MLS1101171071494102821,27,25,23,40,72,32,6,1,1,2,1,0,0,0,1,2,2,1,0,0,0,0,1,1,2,3,8,5,5,10,53,45,81,15,0
10562,10562,MLS1101171031504106016,57,29,9,22,39,45,17,2,1,8,0,0,0,0,1,5,4,2,0,0,0,0,3,0,6,0,12,5,7,3,46,25,82,29,5
10564,10564,MLS1101151111404106403,50,36,24,45,51,17,5,1,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,1,3,4,6,7,4,13,57,48,76,7,5
10565,10565,MLS1101141290994102752,32,33,26,48,63,19,8,2,0,0,0,0,0,0,0,10,7,4,0,0,0,0,0,0,0,9,3,5,18,15,32,36,92,0,5
10566,10566,MLS1101141270954123937,39,33,27,37,76,14,2,0,0,0,0,0,0,0,1,5,4,2,0,0,0,2,0,1,3,2,14,2,5,3,62,42,74,11,0
10567,10567,MLS1101141260964123044,31,31,29,44,71,19,2,1,0,0,0,0,0,0,1,5,4,2,0,0,0,0,0,1,3,4,8,9,2,4,64,48,76,2,0
10568,10568,MLS1101141250994104004,27,24,21,38,69,35,10,5,1,1,0,0,0,0,1,3,3,1,0,0,0,0,0,2,5,5,4,4,4,5,54,48,80,14,0
10569,10569,MLS1101141231004121004,87,41,21,30,32,14,3,1,1,0,0,0,0,0,1,3,3,1,0,0,0,0,0,1,4,4,8,5,5,11,51,44,82,8,5
10571,10571,MLS1101141210994125405,43,33,25,44,66,13,3,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,4,3,8,6,5,14,54,46,80,9,0
10572,10572,MLS1101141210984107534,36,33,29,49,63,15,2,1,1,2,0,0,0,0,1,2,1,1,0,0,0,0,1,1,3,3,7,6,5,14,55,45,77,11,0
10573,10573,MLS1101141053304103833,49,41,36,48,30,18,6,0,0,0,0,0,0,0,1,7,5,2,0,0,0,0,3,3,0,0,7,0,0,3,55,47,84,16,5
10574,10574,MLS1101140152074108425,45,35,26,30,71,19,2,1,0,0,0,0,0,0,1,4,4,2,0,0,0,0,2,0,0,4,7,5,4,3,55,37,77,26,1
10576,10576,MLS1101140001924115127,137,39,13,22,16,2,0,0,0,0,0,0,0,0,1,5,4,2,0,0,0,0,0,5,3,9,7,2,8,12,52,26,87,12,5
10577,10577,MLS1101131280994105558,27,21,22,38,67,32,17,4,0,0,0,0,0,0,0,7,5,3,0,0,0,0,0,2,4,4,4,6,7,8,69,51,62,0,0
10578,10578,MLS1101131230554102341,90,57,22,29,12,3,1,3,13,1,0,0,0,0,1,3,3,1,0,0,0,0,0,1,2,3,9,7,4,7,54,43,87,9,5
10579,10579,MLS1101131230544110670,27,24,21,38,76,33,8,2,0,0,0,0,0,0,1,3,3,1,0,0,0,0,0,0,2,4,10,8,3,5,55,34,92,10,0
10580,10580,MLS1101131200594109172,74,53,33,30,23,12,3,0,0,0,0,0,0,0,1,2,2,2,1,0,1,1,1,1,3,4,10,8,4,8,60,44,79,4,5
10581,10581,MLS1101131003274109812,51,36,12,12,70,32,11,4,1,0,0,0,0,0,1,6,4,2,0,0,0,0,0,0,3,4,11,8,4,2,51,55,77,3,5
10583,10583,MLS1101130071894117655,111,54,11,4,24,7,17,1,0,0,0,0,0,0,1,4,4,1,0,0,0,0,0,1,4,6,9,8,4,8,28,50,83,21,5
10585,10585,MLS1101111081504106035,92,68,35,20,12,0,0,0,0,0,0,0,0,0,1,3,3,1,0,0,0,0,0,0,2,3,10,5,4,9,46,45,83,16,5
10586,10586,MLS1101111071484107695,71,44,23,41,38,10,2,1,0,0,0,0,0,0,1,2,2,1,0,0,0,0,1,1,3,2,8,5,5,10,53,48,79,10,5
10588,10588,MLS1101111041594100815,54,35,24,29,57,21,4,1,1,3,0,0,0,0,1,3,3,2,0,0,0,0,0,1,2,3,8,5,3,7,50,42,86,18,0
10589,10589,MLS1101110021734107496,71,47,25,21,42,19,3,1,1,0,0,0,0,0,1,2,2,1,0,0,0,0,1,1,3,4,8,6,5,9,58,50,75,7,0
