,id,dm-0,dm-1,dm-2,dm-3,dm-4,dm-5,dm-6,dm-7,dm-8,dm-9,dm-10,dt-0,dt-1,dt-2,dt-3,dt-4,dt-5,dt-6,dt-7,dt-8,dt-9,dt-10,dt-11,dt-12,dt-13,dt-14,dt-15,dt-16,dt-17,dt-18,dt-19,dt-20,dt-21,dt-22,tag
3433,CSS1010120211144113147,68,58,39,34,19,10,1,0,0,0,0,0,0,0,1,2,2,1,1,0,1,0,1,1,3,3,7,3,2,1,34,34,72,66,5
3434,CSS1010120151224127381,31,27,21,33,48,43,20,6,1,1,0,0,0,0,1,2,1,1,0,0,0,1,1,2,3,4,6,3,0,0,34,30,76,65,1
3435,CSS1010120151214124654,71,56,38,39,18,5,1,0,0,0,0,0,0,0,1,2,1,1,0,0,0,1,1,1,3,4,6,3,1,1,35,31,76,64,6
3436,CSS1010120150064102021,71,51,34,38,28,6,1,0,0,0,0,0,0,0,1,2,2,1,0,0,0,1,1,2,3,4,7,3,1,1,36,30,77,63,6
3437,CSS1010120070044125126,53,42,34,42,37,14,6,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,2,3,4,7,4,2,2,36,34,78,56,5
3438,CSS1010111040144109294,27,24,22,41,70,34,9,2,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,2,3,6,4,3,3,33,31,71,71,0
3439,CSS1010111011204118970,18,18,17,33,66,43,21,9,4,2,1,0,0,0,1,1,1,1,0,1,1,1,1,1,2,3,4,4,3,9,34,27,68,73,1
3440,CSS1010110071174108849,47,42,34,44,41,10,6,2,3,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,2,2,4,3,3,9,33,29,69,71,5
3441,CSS1010110010084107400,25,24,22,42,73,32,8,2,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,3,3,6,4,2,1,36,31,73,67,0
3442,CSS1010101430054165221,63,6,6,10,18,9,3,1,3,92,19,0,0,0,1,2,2,1,0,0,0,0,1,1,4,4,7,4,2,2,36,25,75,66,4
3443,CSS1010101380134129854,17,16,16,28,61,41,26,14,6,5,1,0,0,0,1,2,1,1,1,0,0,1,1,2,4,4,9,5,3,4,33,27,36,97,2
3444,CSS1010101351004150592,26,24,19,27,34,13,8,8,18,51,3,0,0,0,1,2,2,1,0,0,0,0,1,1,2,3,4,4,2,8,32,24,63,80,5
3445,CSS1010101291064134766,35,32,27,38,46,10,9,9,10,15,0,0,0,0,1,1,1,1,1,0,1,1,1,1,2,3,4,4,3,10,34,28,58,79,2
3446,CSS1010091290054106863,28,27,25,43,65,23,8,4,2,2,3,0,0,0,1,1,1,1,0,1,0,1,1,1,2,3,5,3,3,6,33,29,67,73,2
3447,CSS1010091210144103864,25,23,20,35,68,43,14,2,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,2,2,5,4,3,6,35,29,74,66,0
3448,CSS1010091071124108408,35,32,29,44,50,14,4,3,4,15,0,0,0,0,1,1,1,1,0,0,1,1,1,1,2,2,3,3,3,12,31,29,72,65,2
3449,CSS1010081290014121920,37,29,20,25,20,5,7,1,1,1,85,0,0,0,1,2,1,1,0,1,0,1,1,1,3,3,5,3,3,5,29,28,60,82,4
3450,CSS1010081230074139999,22,21,21,37,67,33,10,5,4,10,1,0,0,0,1,1,1,1,1,1,0,1,1,1,3,3,6,4,3,3,35,31,72,68,2
